topology,shared,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
cycle,False,0.3,0.0098,0.0013931231101377939,315.6308,0.2818,0.7084,5000
cycle,False,0.35,0.0326,0.0025114633184659496,453.6018,0.5032,0.4642,5000
cycle,False,0.4,0.1526,0.005085533207049188,524.1202,0.5796,0.2678,5000
cycle,False,0.45,0.5692,0.0070030187776415394,424.4946,0.3104,0.1204,5000
cycle,False,0.5,0.9564,0.0028878725733660748,203.2262,0.0068,0.0368,5000
cycle,False,0.55,0.9912,0.0013207997577225725,114.644,0.0,0.0088,5000
cycle,False,0.6,0.999,0.0004469899327725404,77.0982,0.0,0.001,5000
cycle,False,0.65,1.0,0.0,58.557,0.0,0.0,5000
cycle,False,0.7,1.0,0.0,47.6994,0.0,0.0,5000
cycle,False,0.75,1.0,0.0,39.834,0.0,0.0,5000
cycle,False,0.8,1.0,0.0,34.467,0.0,0.0,5000
cycle,False,0.85,1.0,0.0,29.9194,0.0,0.0,5000
cycle,False,0.9,1.0,0.0,26.7242,0.0,0.0,5000
cycle,False,0.95,1.0,0.0,24.2066,0.0,0.0,5000
cycle,False,1.0,1.0,0.0,21.9012,0.0,0.0,5000
