topology,adoption_fraction,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,0.0,0.0,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.0,0.2,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.0,0.4,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.0,0.6,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.0,0.8,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.0,1.0,0.6,0.06324555320336758,14.416666666666666,0.0,0.4,60
complete,0.5,0.0,0.5,0.06454972243679027,65.2,0.03333333333333333,0.4666666666666667,60
complete,0.5,0.2,0.5166666666666667,0.06451385151296608,17.85,0.0,0.48333333333333334,60
complete,0.5,0.4,0.6,0.06324555320336758,14.85,0.0,0.4,60
complete,0.5,0.6,0.7333333333333333,0.057089922571845024,18.633333333333333,0.0,0.26666666666666666,60
complete,0.5,0.8,0.9333333333333333,0.032203059435976525,27.616666666666667,0.0,0.06666666666666667,60
complete,0.5,1.0,1.0,0.0,23.166666666666668,0.0,0.0,60
complete,1.0,0.0,0.35,0.06157651067303722,14.516666666666667,0.0,0.65,60
complete,1.0,0.2,0.48333333333333334,0.06451385151296608,14.65,0.0,0.5166666666666667,60
complete,1.0,0.4,0.6333333333333333,0.062212300796308524,15.733333333333333,0.0,0.36666666666666664,60
complete,1.0,0.6,0.8,0.05163977794943222,16.833333333333332,0.0,0.2,60
complete,1.0,0.8,0.9666666666666667,0.023174059571793564,17.35,0.0,0.03333333333333333,60
complete,1.0,1.0,1.0,0.0,13.816666666666666,0.0,0.0,60
cycle,0.0,0.0,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.0,0.2,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.0,0.4,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.0,0.6,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.0,0.8,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.0,1.0,0.85,0.046097722286464436,151.81666666666666,0.0,0.15,60
cycle,0.5,0.0,0.0,0.0,633.5166666666667,0.7833333333333333,0.21666666666666667,60
cycle,0.5,0.2,0.016666666666666666,0.01652719420071502,633.9666666666667,0.7833333333333333,0.2,60
cycle,0.5,0.4,0.4166666666666667,0.06364688465216445,441.71666666666664,0.4,0.18333333333333332,60
cycle,0.5,0.6,0.9833333333333333,0.016527194200715044,146.58333333333334,0.0,0.016666666666666666,60
cycle,0.5,0.8,1.0,0.0,84.08333333333333,0.0,0.0,60
cycle,0.5,1.0,1.0,0.0,97.88333333333334,0.0,0.0,60
cycle,1.0,0.0,0.0,0.0,24.816666666666666,0.0,1.0,60
cycle,1.0,0.2,0.0,0.0,86.7,0.0,1.0,60
cycle,1.0,0.4,0.3,0.05916079783099616,363.8333333333333,0.38333333333333336,0.31666666666666665,60
cycle,1.0,0.6,0.9833333333333333,0.016527194200715044,75.46666666666667,0.0,0.016666666666666666,60
cycle,1.0,0.8,1.0,0.0,32.2,0.0,0.0,60
cycle,1.0,1.0,1.0,0.0,20.616666666666667,0.0,0.0,60
