topology,adoption_fraction,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,0.75,0.35,0.543,0.015752809273269323,15.314,0.0,0.457,1000
complete,0.75,0.4,0.58,0.015607690412101338,15.177,0.0,0.42,1000
complete,0.75,0.45,0.613,0.015402305022301045,14.998,0.0,0.387,1000
complete,0.75,0.5,0.636,0.015215255502291114,15.303,0.0,0.364,1000
complete,0.75,0.55,0.681,0.01473902981881779,16.307,0.0,0.319,1000
complete,0.75,0.6,0.737,0.013922320208930694,17.346,0.0,0.263,1000
complete,0.75,0.65,0.788,0.012925014506761683,18.076,0.0,0.212,1000
complete,0.75,0.7,0.854,0.011166198995181844,19.817,0.0,0.146,1000
complete,0.75,0.75,0.905,0.009272270487857868,19.897,0.0,0.095,1000
complete,0.75,0.8,0.953,0.00669260786241059,20.67,0.0,0.047,1000
complete,0.75,0.85,0.968,0.005565608681896351,20.372,0.0,0.032,1000
complete,0.75,0.9,0.99,0.003146426544510456,20.199,0.0,0.01,1000
complete,0.75,0.95,0.999,0.0009994998749374613,20.55,0.0,0.001,1000
complete,0.75,1.0,1.0,0.0,19.783,0.0,0.0,1000
complete,1.0,0.0,0.306,0.0145727142289966,12.871,0.0,0.694,1000
complete,1.0,0.05,0.333,0.014903388876359632,13.069,0.0,0.667,1000
complete,1.0,0.1,0.368,0.015250442616527561,13.189,0.0,0.632,1000
complete,1.0,0.15,0.409,0.015547314880711717,13.429,0.0,0.591,1000
complete,1.0,0.2,0.427,0.015641962792437524,13.507,0.0,0.573,1000
complete,1.0,0.25,0.465,0.01577260282895629,13.692,0.0,0.535,1000
complete,1.0,0.3,0.504,0.01581088232832058,14.004,0.0,0.496,1000
complete,1.0,0.35,0.531,0.01578096955196353,14.165,0.0,0.469,1000
complete,1.0,0.4,0.557,0.015708309902723462,14.631,0.0,0.443,1000
complete,1.0,0.45,0.598,0.015504708962118573,14.873,0.0,0.402,1000
complete,1.0,0.5,0.629,0.015276092432294327,15.176,0.0,0.371,1000
complete,1.0,0.55,0.693,0.01458598642533305,15.825,0.0,0.307,1000
complete,1.0,0.6,0.741,0.013853483316480371,15.977,0.0,0.259,1000
complete,1.0,0.65,0.802,0.012601428490452976,16.559,0.0,0.198,1000
complete,1.0,0.7,0.858,0.011037934589405756,16.789,0.0,0.142,1000
complete,1.0,0.75,0.901,0.009444522221901962,16.692,0.0,0.099,1000
complete,1.0,0.8,0.943,0.007331507348424336,16.618,0.0,0.057,1000
complete,1.0,0.85,0.968,0.005565608681896351,16.543,0.0,0.032,1000
complete,1.0,0.9,0.987,0.0035820385257559714,16.129,0.0,0.013,1000
complete,1.0,0.95,0.996,0.0019959959919799443,15.519,0.0,0.004,1000
complete,1.0,1.0,0.999,0.0009994998749374613,14.988,0.0,0.001,1000
cycle,0.0,0.0,0.865,0.010806248192596726,176.589,0.003,0.132,1000
